name,overview,description,keywords
render-glow-outline,Glowing outlines define forms.,"Objects are primarily communicated through bright emissive contours while interior fill stays minimal or dark, supporting abstract arcade readability.","neon, outline, emissive, contour, silhouette"
render-wireframe-lines,Line-only rendering style.,"Scenes are composed from strokes and polylines rather than filled shapes, emphasizing structure and motion over texture.","line art, vector, polyline, stroke, minimal"
render-edge-emphasis,Edges emphasized over faces.,Corners and outer edges receive stronger brightness or thickness so geometry remains readable with simple fills.,"edge, corner, highlight, geometry, clarity"
render-double-stroke,Double-layered outline structure.,A secondary contour creates hierarchy and separation without introducing new assets.,"double outline, contour, hierarchy, separation, graphic"
render-uniform-stroke,Uniform stroke weight system.,"All lines share a consistent thickness, reinforcing modular composition and typographic integration.","stroke weight, uniform, graphic system, vector, clean"
render-depth-stroke-variation,Stroke varies with depth.,Line thickness subtly shifts according to pseudo-depth or layering to imply space in 2D.,"depth cue, thickness, layer, pseudo depth, perspective"
render-soft-bloom-outline,Soft bloom around outlines.,"A gentle glow halo surrounds strokes, creating an analog neon feel without heavy texture.","bloom, glow, neon, soft edge, emissive"
render-gradient-contour,Gradient along contours.,Outline color shifts gradually along its path to add richness without surface detail.,"gradient, contour, color shift, outline, emissive"
geometry-primitive-modularity,Complexity from simple primitives.,"A small set of circles, squares, or triangles is reused to construct all visual elements.","primitives, modular, repetition, simple shapes, pattern"
geometry-regular-polygon-language,Regular polygons as visual language.,"Pentagons, hexagons, and other regular forms define a coherent geometric identity.","polygon, regular, geometry, tessellation, symmetry"
geometry-grid-alignment,Grid-aligned composition.,"Visual placement adheres to an implicit grid, producing clarity and rhythm.","grid, alignment, layout, structure, crisp"
geometry-scale-hierarchy,Hierarchy via scale contrast.,Large and small shapes coexist to create visual emphasis without detailed art.,"scale, hierarchy, macro, micro, contrast"
geometry-radial-duplication,Radial duplication of forms.,"Shapes repeat around a center, generating rotational symmetry and arena-like composition.","radial, rotation, symmetry, duplication, center"
geometry-concentric-structure,Concentric ring structuring.,Nested circular forms define zones and spatial hierarchy.,"concentric, rings, orbit, layers, arena"
geometry-layer-stacking,Layered geometric planes.,Foreground and background shapes differ in brightness or size to imply depth.,"layers, planes, depth, separation, staging"
geometry-diagonal-dominance,Diagonal-driven composition.,Strong diagonals create motion and tension in otherwise minimal scenes.,"diagonal, dynamic, flow, angle, composition"
motionviz-velocity-hue-shift,Hue varies with velocity.,Color subtly shifts according to object speed to visualize energy without extra art.,"velocity, hue shift, energy, motion, feedback"
motionviz-rotation-reactive,Visual response to rotation.,Outline intensity or minor effects react to angular velocity.,"rotation, angular, feedback, intensity, spin"
motionviz-impact-ripple,Impact ripple visualization.,Collisions emit expanding circular waves that briefly articulate space.,"impact, ripple, shockwave, ring, arcade"
