name,overview,description,keywords
on_pressed-turn,"Change movement direction.","Button input changes the travel vector by 90 or 180 degrees.","turn, switch, reaction, zigzag, sharp angle"
on_pressed-jump,"Leap into the air.","Gain an upward vector against gravity.","hop, escape, verticality, pulse, flight"
on_pressed-flap,"Flap in the air.","Maintain buoyancy with intermittent input, balancing with gravity.","bird, resist, rhythm, float, hang"
on_pressed-reverse_state,"Reverse state or attribute.","Switch gravity, color, direction of travel to the opposite state.","invert, switch, polarity, flip, toggle"
on_pressed-shoot,"Emit a projectile or pulse.","Launch an object outward.","fire, release, projectile, emit, launch"
on_pressed-pierce,"Perform a piercing attack.","Penetrate obstacles and interfere to the other side of the line.","drill, spear, straight, breakthrough, skewer"
on_pressed-split,"Split self or target.","One entity divides into multiple and begins behaving individually.","divide, multiply, spread, scatter, cell"
on_pressed-select_route,"Select and decide a route.","Confirm which route to take at a junction.","switch, decision, branch, path, destiny"
on_pressed-go_forward,"Move forward or accelerate.","Forward force only occurs on input.","thrust, gas, impulse, step, advance"
on_pressed-jump_into_another,"Jump to another target.","Leave the current host and move or possess the target.","host, possess, hop, transfer, switch"
on_pressed-fall,"Rapid descent.","Cancel mid-air hang time and rush to the ground.","drop, weight, anchor, dive, gravity"
on_pressed-change_field,"Switch the field state.","Instantly change the background or environmental rules.","world change, dimension, toggle, shift, magic"
on_pressed-strike,"Perform an immediate close-range action.","Instantly create an effect zone around self or in front.","strike, melee, impact, instant, burst"
on_holding-adjust_angle,"Continue adjusting angle or direction.","While button is held, aim or direction of travel continues to change.","aim, dial, precision, focus, rotate"
on_holding-rotate,"Continue rotating.","While button is held, object performs rotational motion.","spin, wind-up, direction, orientation, spiral"
on_holding-thrust,"Continue generating thrust.","Like a rocket, only accelerates while being pressed.","rocket, jet, accelerate, push, burst"
on_holding-move,"Continue moving.","Only moves while button is held.","drive, slide, active, control, run"
on_holding-stop,"Stop in place.","Forcibly stop movement and fix position.","brake, freeze, wait, patience, still"
on_holding-emit,"Continuously emit outward.","Emit projectiles or pulses intermittently or continuously while held.","continuous, stream, pulse, emit, barrage"
on_holding-extend,"Extend body or weapon.","Object elongates proportional to button hold duration.","growth, reach, stretch, flexible, elastic"
on_holding-charge,"Store energy.","Invest time to enhance the effect of later actions.","accumulation, power, tension, release, charge"
on_holding-inhale,"Inhale.","Generate attraction that draws surrounding objects.","vacuum, Kirby, gravity, suction, convergence"
on_holding-defend,"Enter protected state.","Gain protection from environmental effects but restrict other capabilities like movement.","shield, protection, shell, safety, hunker"
on_holding-defenseless,"Become exposed for a powerful effect.","Trade safety for enhanced capability — protection drops or movement is restricted as cost of a powerful action.","vulnerable, channeling, exposed, tradeoff, risk"
on_holding-reverse_state,"Temporarily reverse state.","Only while held, become the other world or opposite attribute.","alternate, phase shift, toggle, hold, transform"
on_holding-avoid,"Maintain evasion state.","Become a state that passes through enemies or bullets.","ghost, intangible, dodge, phase, invincible"
on_released-throw,"Throw or fire.","Release stored power or held object.","toss, launch, catapult, let go, throw"
on_released-erase,"Erase or detonate.","Become a trigger to make placed items or selected range disappear.","delete, detonate, trigger, cut, destroy"
