name,overview,description,keywords
obstacle-fall,"Falls from above.","Objects raining down following gravity.","rain, Tetris, gravity, avalanche, falling object"
obstacle-chase,"Relentlessly pursues the player.","Changes movement direction according to player position, closing distance.","horror, pursuit, magnet, zombie, pressure"
obstacle-bounce,"Keeps bouncing off walls and floors.","Bounces around the field in unpredictable trajectories.","chaos, molecule, sports, unpredictable, reflection"
obstacle-split,"Splits when conditions are met.","Numbers increase and size decreases through destruction or time passage.","cell division, fragment, proliferation, virus, spread"
obstacle-stack,"Stacks up and becomes terrain.","Remains after falling or stopping, narrowing movement range or becoming platforms.","Tetris, wall, accumulation, burial, blockage"
obstacle-foresee,"Anticipates player movement.","Takes action toward predicted future position rather than current position.","sniper, prediction, AI, calculation, cunning"
obstacle-well_up,"Springs up from below.","Appears from the ground or bottom of screen and moves upward.","geyser, ascent, eruption, bubble, source"
obstacle-penalty,"Becomes disadvantageous on contact or destruction.","Objects to avoid, but often placed mixed with enemies.","minefield, taboo, delicate, precision, trap"
field-floors,"Multiple platforms float in the air.","No continuous ground; platforms are placed intermittently.","island, disconnection, altitude, isolation, stepping stones"
field-holes,"Holes exist in the ground.","Contains dangerous areas that cannot be traversed or cause falling.","pitfall, gap, risk, void, opening"
field-bottomless,"No floor at bottom of screen.","Falling results in immediate game over or inability to recover.","vertigo, crash, abyss, survival, height"
field-roughness,"Terrain is irregular and bumpy.","Not flat; slopes and friction changes affect movement.","friction, rough road, noise, uneven, resistance"
field-spike,"Dangerous zones with instant-death on contact.","High-risk terrain objects that result in failure just by touching.","danger, thorn, instant death, sharp, boundary"
field-outpost,"Specific points to reach exist.","Goals or checkpoints with the purpose of passing or touching.","base, goal, sanctuary, target, milestone"
field-lanes,"Movement routes are divided into multiple lanes.","Not free planar movement but moving on fixed multiple lines.","traffic, parallel, switch, highway, options"
field-pins,"Point-like objects are placed.","Collection of points functioning as platforms, obstacles, or hook points.","pachinko, node, net, grid, nail"
field-rotate,"The entire field or parts rotate.","Relative positions change as gravity direction or viewpoint rotates.","centrifuge, disorientation, orbit, axis, rotation"
field-press,"Terrain protrudes and narrows space.","Walls or ceiling move; safe zones change or disappear over time.","claustrophobia, press machine, piston, timing, pressure"
field-gravity,"Gravity or attraction acts.","Characters or objects are drawn toward a specific direction or point.","attraction, weight, orbit, magnet, Newton"
field-space,"Space with sparse friction or gravity.","Inertia works strongly; once moving, difficult to stop.","vacuum, zero gravity, drift, vastness, inertia"
field-water,"Fluid space with buoyancy or resistance.","Unlike air, movement has resistance or causes floating.","buoyancy, resistance, breathing, flow, depth"
field-weather,"Environmental factors have effects.","Natural phenomena interfere with play through poor visibility or external forces.","wind, storm, random, nature, change"
field-connected,"Objects are physically connected to each other.","Linked by chains or rods; they move in conjunction.","network, chain, link, dependency, structure"
field-regenerate,"Terrain or objects regenerate.","Revives after destruction or continues to be automatically generated.","growth, healing, infinite, undead, cycle"
field-1D,"Movement limited to 1 dimension.","Only left-right or up-down movement; cannot avoid in a plane.","line, tightrope, minimal, straight, cramped"
field-3D,"Movement or expression in depth direction exists.","Includes movement in Z-axis direction or perspective representation.","depth, perspective, volume, Z-axis, space"
field-multiple,"Multiple fields exist in parallel.","Simultaneous processing of events in different places through split screens.","multitasking, split screen, parallel, simultaneous, overview"
field-auto_scroll,"Screen scrolls forcibly.","Standing still is not allowed; constantly pushed forward.","time, rush, conveyor, no return, anxiety"
rule-match,"Match colors, shapes, numbers, etc.","Requires pattern recognition and selection, not just action.","pattern, order, set, identity, recognition"
rule-find,"Find a specific target.","Find the correct answer or goal among many.","search, concealment, detective, needle, discovery"
rule-classify,"Classify and sort targets.","Take different responses according to attributes.","sorting, gatekeeper, referee, filter, differentiation"
rule-surround,"Surround an area.","Create a closed shape with lines or objects.","encirclement, territory, lasso, capture, barrier"
rule-shelter,"Hide in safe zones.","Use cover or areas that block attacks.","safety, shelter, concealment, bunker, refuge"
rule-pass_through_gap,"Pass through narrow gaps.","Perform precise positioning and exploit gaps in collision detection.","eye of needle, precision, narrow path, gate, focus"
rule-balance,"Maintain equilibrium.","Control to not fall over or maintain center.","scale, seesaw, balance, topple, precariousness"
rule-mathematics,"Numerical processing is required.","Includes logical rules such as calculation, order, equations.","logic, calculation, equivalence, numbers, algorithm"
rule-physics,"Uses physical behavior.","Physics simulation elements like inertia, friction, collision are core.","inertia, collision, mass, simulation, action-reaction"
rule-geometry,"Involves geometric placement or shapes.","Uses angles, symmetry, properties of figures.","angle, figure, symmetry, space, mathematical beauty"
rule-time_limit,"Time limit exists.","Time as a resource decreases; ends when depleted.","deadline, adrenaline, race, decay, urgency"
rule-gauge_management,"Manage a gauge value.","Control parameter increase/decrease: store, maintain, consume.","economy, stamina, balance, thermostat, depletion"
rule-combo_multiplier,"Score increases with consecutive successes.","Rewards increase exponentially by continuing actions without mistakes.","momentum, flow, greed, rhythm, chain"
rule-control_weapons,"Control the weapon itself.","Directly move the attack means rather than the character.","remote control, puppet, indirect, drone, remote"
rule-proximity_bonus,"Reward increases closer to danger.","Get high scores by pushing close to collision.","daredevil, graze, risk, adrenaline, chicken race"
rule-time_manipulation,"Manipulate the flow of time.","Slow motion, stop, fast forward occur.","slow-mo, rewind, Matrix, relativity, control"
rule-chain,"Trigger chain reactions.","One action induces the next; effects propagate.","domino, reaction, cascade, link, ripple"
rule-friendly_fire,"Attack detection exists for allies.","Your attacks also hit yourself or ally objects.","betrayal, carefulness, chaos, self-destruct, double-edged sword"
on_got_item-reverse_state,"State reverses on item acquisition.","Not power-up but rules or physics laws reverse.","curse, blessing, mutation, invert, trick"
on_got_item-power_up,"Abilities improve.","Speed, attack power, size, etc. are enhanced.","growth, strength, evolution, buff, awakening"
on_got_item-spawn,"Allies or duplicates increase.","Units that help the player are generated.","reinforcement, clone, army, addition, recruit"
