name,overview,description,keywords
structure-stepwise_reveal,"段階的に能力やルールが開示される構造。","進行に応じて新しい操作意味や相互作用が解禁され、判断の層が増える。","unlock,progression,reveal,layer"
structure-loop_within_loop,"短期ループの中に中期ループを内包する構造。","秒単位の回避や獲得の裏で、より長い準備や配置最適化が進む。","nested loop,tempo,setup,pacing"
structure-environment_mutation,"環境そのものが時間または行動で変質する構造。","プレイヤーが同じ操作をしても、環境状態により結果が変わる。","mutation,phase shift,adaptation,terrain"
structure-dilemma_tradeoff,"利得と安全が常に衝突する二律背反構造。","高得点行動は高リスクになり、安定行動は伸びしろが小さい。","risk reward,dilemma,tension,choice"
structure-accumulate_and_spend,"蓄積と消費を繰り返す資源循環構造。","温存すれば爆発力が増し、使えば安定するが機会損失が出る。","charge,resource loop,banking,burst"
structure-irreversible_change,"巻き戻せない変化が残る不可逆構造。","行動履歴が地形・敵構成・安全地帯に恒久影響を与える。","irreversible,history,commitment,permanence"
structure-spatial_memory,"空間に記憶が残り、再訪時の意味が変化する構造。","通過済みルートや占有状況が次の判断コストを変える。","map memory,territory,pathing,revisit"
structure-delayed_consequence,"行動の結果が遅延して返ってくる構造。","直近で有利だった選択が数秒後の危機を作る。","delay,foresight,debt,planning"
structure-phase_shift,"条件達成でルール相が切り替わる構造。","同じ入力でもフェーズにより役割が逆転する。","phase,mode switch,tempo change,transition"
structure-dual_objective,"保護対象と除去対象が同時に存在する構造。","単純な排除でなく、選別と位置取りが主課題になる。","dual objective,priority,target selection,positioning"
structure-territory_pressure,"領域支配と侵食が拮抗する構造。","確保した領域が時間とともに崩れ、維持行動が必要になる。","zone control,erosion,pressure,maintenance"
structure-chain_reaction,"連鎖反応の起点管理が主軸になる構造。","単発行動より発火タイミングと配置で成果が決まる。","chain reaction,trigger,timing,setup"
structure-information_asymmetry,"情報の偏りを利用・解消する構造。","視界や予兆の制約が判断の質を左右し、情報獲得が価値を持つ。","fog of war,signal,prediction,awareness"
structure-opportunity_window,"短い好機窓を捉える構造。","平常時は準備、好機発生時に一気に回収するリズムを作る。","window,burst timing,readiness,tempo"
structure-role_reversal,"プレイヤーと脅威の主従が反転する構造。","一定条件で追う側と追われる側が入れ替わり、判断基準が変わる。","reversal,power shift,role swap,inversion"
