name,overview,description,keywords
ability-arc_trajectory,"Emits influence along a parabolic arc.","Effect travels in a curved path affected by gravity or similar force, landing at a distant point.","arc, curve, lob, indirect, trajectory"
ability-homing,"Automatically tracks the nearest target.","Once activated, continuously corrects course toward the closest relevant object.","homing, magnetism, seeking, guidance, lock-on"
ability-orthogonal,"Acts on an axis perpendicular to facing direction.","Influence extends sideways, above, or below rather than straight ahead.","perpendicular, cross-axis, lateral, column, blind spot"
ability-reflect,"Bounces off surfaces and redirects.","Uses reflection to reach positions not directly accessible; angle determines destination.","mirror, angle, bounce, indirect, ricochet"
ability-auto_target,"Automatically selects and affects the optimal target.","System determines which object to influence regardless of player aim.","auto, selection, smart, proximity, focus"
ability-area_burst,"Affects a surrounding area on activation.","Influence radiates outward from a point, covering a region rather than a single target.","burst, radius, area, wave, spread"
ability-displace,"Forcibly moves objects to new positions.","Applies positional force — pushes, pulls, or relocates without destroying.","push, pull, knockback, reposition, force"
ability-sweep,"Moves through a wide area in one motion.","A linear or fan-shaped influence travels across the field, affecting everything in its path.","sweep, wipe, scan, pass, coverage"
ability-fan,"Deploys in a fan or cone shape.","Spreads outward with trade-offs between reach and width of effect.","cone, spread, fan, scatter, radiate"
ability-instant_line,"Creates an instantaneous line of influence.","Affects everything along a straight line with no travel time.","line, instant, beam, trace, sight"
ability-obscure,"Hides or distorts information.","Creates zones of uncertainty by blocking visibility or altering perception.","fog, mask, hide, uncertainty, distortion"
ability-delayed,"Effect activates after a time delay.","Placed or triggered now, but influence manifests later; requires anticipation.","delay, timer, fuse, anticipation, setup"
ability-suspend,"Temporarily freezes target properties.","Pauses movement, behavior, or state of an object without removing it.","freeze, pause, stun, halt, suspend"
ability-negate,"Cancels or nullifies incoming influences.","Counteracts an approaching effect or object, preventing its intended result.","counter, cancel, nullify, block, deny"
ability-reshape,"Alters the structure of the environment.","Modifies terrain, boundaries, or spatial rules — creating, removing, or transforming features.","terraform, reshape, modify, create, transform"
