name,overview,description,keywords
player-rotate,"Player character rotates continuously.","Movement vector and shooting direction change periodically over time.","centrifugal force, clock, cycle, spiral, radar"
player-reciprocate,"Player character moves back and forth.","Has automatic movement that goes back and forth within a certain range or trajectory.","pendulum, rhythm, oscillation, metronome, constraint"
player-reflect,"Reflects when colliding with walls or objects.","Trajectory changes through reflection behavior based on angle of incidence.","mirror, billiards, light, geometry, bounce"
player-bounce,"Constantly bouncing.","Rebounds on contact with ground or collision, never staying still.","gravity, spring, heartbeat, uncontrollable, momentum"
player-automatic,"Moves automatically without input.","Progresses according to terrain and rules; player cannot intervene or only indirectly.","conveyor belt, fate, flow, rail, inevitable"
player-string,"Has a string-like or spring-like form.","Inertia and delay occur due to multiple connected segments or stretching behavior.","bond, tension, snake, elasticity, follow"
player-bar,"Has a bar-shaped form.","Has length and rotation; collision detection changes based on angle.","reach, wall, sweep, rotation, length"
player-circle,"Has a circular form.","Radius can change (expand/shrink); contact range changes dynamically.","bubble, expansion, orbit, smoothness, area"
player-multiple,"Multiple characters exist simultaneously.","Control multiple entities simultaneously with a single input.","swarm, parallel, chaos, coordination, clone"
player-follow,"Follows the lead character.","Moves in a line, becoming a snake-like state with long collision detection.","queue, trail, burden, growth, chain"
player-inverted,"An inverted state exists.","Character exists on the opposite side of the screen or in a gravity-reversed world.","mirror image, dualism, polarity, upside-down, shadow"
player-limited_vision,"Vision is restricted.","Only part of the screen is visible, or surrounded by darkness.","darkness, spotlight, fear, memory, unknown"
player-scaffold,"Moves along platforms or terrain.","Cannot move freely in the air; movement depends on the shape of contacted terrain.","construction, pathfinding, support, dependency, grounded"
player-step_on,"Steps on enemies or objects from above.","Contact from falling becomes a trigger for attacks or actions.","weight, crush, verticality, contact, stomp"
player-paint,"Repaints contacted terrain or space.","Movement or action trails leave permanent changes in the environment.","territory, trail, marking, contamination, art"
